======================================================================
Training for 200 iterations
Checkpoints will be saved to: checkpoints\gnn_validation
This will take approximately 30-60 minutes...

Starting training for 200 iterations...
Device: cpu
Map: simple_6
Policy: GCN (128x3)

    Episode 20/100 - Win rate: 20.00%
    Episode 40/100 - Win rate: 12.50%
    Episode 60/100 - Win rate: 11.67%
    Episode 80/100 - Win rate: 10.00%
    Episode 100/100 - Win rate: 11.00%
    Win rate: 11.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 180...
    Episode 20/100 - Win rate: 10.00%
    Episode 40/100 - Win rate: 20.00%
    Episode 60/100 - Win rate: 16.67%
    Episode 80/100 - Win rate: 13.75%
    Episode 100/100 - Win rate: 14.00%
    Win rate: 14.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 200...
    Episode 20/100 - Win rate: 15.00%
    Episode 40/100 - Win rate: 7.50%
    Episode 60/100 - Win rate: 6.67%
    Episode 80/100 - Win rate: 10.00%
    Episode 100/100 - Win rate: 10.00%
    Win rate: 10.00% | Avg length: 50.0

✓ Completed 10 evaluations
